Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Luli😁,2024-07-08 01:44:55,00:00:05,Autoplayed: user action: None; ,The Mirror Has Two Faces_hook_primary_16x9,HOOK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:00:05,00:00:05,BR (Brazil)
Luli😁,2024-07-08 01:44:18,00:00:04,Autoplayed: user action: None; ,Trailer: Love At First Sight,TRAILER,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:00:04,00:00:04,BR (Brazil)
Luli😁,2024-07-08 01:42:58,00:00:06,,Young Sheldon: Season 1_hook_primary_16x9,HOOK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:00:06,00:00:06,BR (Brazil)
Luli😁,2024-07-08 01:41:31,00:01:25,Autoplayed: user action: None; ,Season 1 Trailer: AMERICA'S SWEETHEARTS: Dallas Cowboys Cheerleaders,TRAILER,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:01:25,00:01:25,BR (Brazil)
Luli😁,2024-07-07 23:40:11,01:54:00,Autoplayed: user action: User_Interaction; ,Smile,,LG 2019 RTK K5Lp Standard UHD TV Smart TV,01:52:34,01:52:34,BR (Brazil)
Luli😁,2024-07-06 20:35:41,00:00:08,Autoplayed: user action: None; ,Sex and the City: Clip 3,HOOK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:00:09,00:00:09,BR (Brazil)
Luli😁,2024-07-05 01:02:58,00:00:19,Autoplayed: user action: None; ,"Sex and the City: Season 4: Baby, Talk Is Cheap (Episode 6)",,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:00:21,Not latest view,BR (Brazil)
Luli😁,2024-07-05 00:34:07,00:28:13,Autoplayed: user action: User_Interaction; ,Sex and the City: Season 4: Ghost Town (Episode 5),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:28:51,00:28:51,BR (Brazil)
Luli😁,2024-07-05 00:08:40,00:25:24,Autoplayed: user action: User_Interaction; ,Sex and the City: Season 4: What's Sex Got to Do with It? (Episode 4),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:26:00,00:26:00,BR (Brazil)
Luli😁,2024-07-01 00:17:19,00:00:04,,Sex and the City: Season 4: What's Sex Got to Do with It? (Episode 4),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:00:05,Not latest view,BR (Brazil)
Luli😁,2024-06-30 23:44:14,00:27:49,Autoplayed: user action: User_Interaction; ,Sex and the City: Season 4: Defining Moments (Episode 3),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:28:29,00:28:29,BR (Brazil)
Luli😁,2024-06-30 22:56:23,00:29:06,,Sex and the City: Season 4: The Real Me (Episode 2),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:29:43,00:29:43,BR (Brazil)
Luli😁,2024-06-30 22:26:50,00:29:04,,Sex and the City: Season 4: The Agony and the 'Ex'-tacy (Episode 1),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:29:06,00:29:06,BR (Brazil)
Luli😁,2024-06-30 21:52:44,00:33:27,,Sex and the City: Season 3: Cock a Doodle Do (Episode 18),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:34:06,00:34:06,BR (Brazil)
Luli😁,2024-06-30 21:24:33,00:28:08,,Sex and the City: Season 3: What Goes Around Comes Around (Episode 17),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:28:45,00:28:45,BR (Brazil)
Luli😁,2024-06-30 20:53:53,00:27:47,,Sex and the City: Season 3: Frenemies (Episode 16),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:27:48,00:27:48,BR (Brazil)
Luli😁,2024-06-30 20:19:42,00:29:52,Autoplayed: user action: User_Interaction; ,Sex and the City: Season 3: Hot Child in the City (Episode 15),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:30:04,00:30:04,BR (Brazil)
Luli😁,2024-06-30 19:51:33,00:26:25,,Sex and the City: Season 3: Sex and Another City (Episode 14),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:27:01,00:27:01,BR (Brazil)
Luli😁,2024-06-30 19:25:24,00:25:12,Autoplayed: user action: User_Interaction; ,Sex and the City: Season 3: Escape from New York (Episode 13),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:26:47,00:26:47,BR (Brazil)
Luli😁,2024-06-28 02:56:58,00:01:03,Autoplayed: user action: User_Interaction; ,Sex and the City: Season 3: Escape from New York (Episode 13),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:01:39,Not latest view,BR (Brazil)
Luli😁,2024-06-28 02:28:36,00:28:18,Autoplayed: user action: User_Interaction; ,"Sex and the City: Season 3: Don't Ask, Don't Tell (Episode 12)",,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:28:55,00:28:55,BR (Brazil)
Luli😁,2024-06-28 02:00:55,00:27:38,,Sex and the City: Season 3: Running with Scissors (Episode 11),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:28:15,00:28:15,BR (Brazil)
Luli😁,2024-06-28 01:31:59,00:28:51,,Sex and the City: Season 3: All or Nothing (Episode 10),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:29:27,00:29:27,BR (Brazil)
Luli😁,2024-06-28 01:31:51,00:00:04,Autoplayed: user action: None; ,Sex and the City: Clip 1,HOOK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:00:04,00:00:04,BR (Brazil)
Luli😁,2024-06-28 01:19:58,00:00:43,Autoplayed: user action: None; ,Suits: Season 5 - CLM 5,HOOK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:00:43,00:00:43,BR (Brazil)
Luli😁,2024-06-28 01:19:46,00:00:05,Autoplayed: user action: None; ,Sex and the City: Clip 1,HOOK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:00:05,Not latest view,BR (Brazil)
Luli😁,2024-06-27 23:43:21,01:36:14,,The Hunger Games: Mockingjay - Part 2,,LG 2019 RTK K5Lp Standard UHD TV Smart TV,02:05:28,02:05:28,BR (Brazil)
Luli😁,2024-06-27 21:09:02,00:00:20,,The Hunger Games: Mockingjay - Part 2,,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:29:16,Not latest view,BR (Brazil)
Luli😁,2024-06-27 20:35:05,00:28:47,,The Hunger Games: Mockingjay - Part 2,,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:28:59,Not latest view,BR (Brazil)
Luli😁,2024-06-27 20:15:07,00:18:34,Autoplayed: user action: User_Interaction; ,The Hunger Games: Mockingjay - Part 1,,LG 2019 RTK K5Lp Standard UHD TV Smart TV,01:50:57,01:50:57,BR (Brazil)
Luli😁,2024-06-27 18:11:19,01:56:48,Autoplayed: user action: User_Interaction; ,The Hunger Games: Catching Fire,,LG 2019 RTK K5Lp Standard UHD TV Smart TV,02:14:05,02:14:05,BR (Brazil)
Luli😁,2024-06-27 17:44:45,00:26:26,Autoplayed: user action: User_Interaction; ,The Hunger Games: Mockingjay - Part 1,,LG 2019 RTK K5Lp Standard UHD TV Smart TV,01:32:30,Not latest view,BR (Brazil)
Luli😁,2024-06-26 23:50:06,01:06:09,Autoplayed: user action: User_Interaction; ,The Hunger Games: Mockingjay - Part 1,,LG 2019 RTK K5Lp Standard UHD TV Smart TV,01:06:07,Not latest view,BR (Brazil)
Luli😁,2024-06-26 22:50:03,00:59:51,Autoplayed: user action: User_Interaction; ,The Hunger Games: Catching Fire,,LG 2019 RTK K5Lp Standard UHD TV Smart TV,02:16:03,Not latest view,BR (Brazil)
Luli😁,2024-06-26 19:25:21,01:16:55,Autoplayed: user action: User_Interaction; ,The Hunger Games: Catching Fire,,LG 2019 RTK K5Lp Standard UHD TV Smart TV,01:16:14,Not latest view,BR (Brazil)
Luli😁,2024-06-26 17:03:45,01:05:38,,The Hunger Games,,LG 2019 RTK K5Lp Standard UHD TV Smart TV,02:13:38,02:13:38,BR (Brazil)
Luli😁,2024-06-25 23:55:16,01:08:00,Autoplayed: user action: User_Interaction; ,The Hunger Games,,LG 2019 RTK K5Lp Standard UHD TV Smart TV,01:08:00,Not latest view,BR (Brazil)
Luli😁,2024-06-25 22:54:35,00:30:05,,"Sex and the City: Season 3: Easy Come, Easy Go (Episode 9)",,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:30:07,00:30:07,BR (Brazil)
Luli😁,2024-06-25 22:25:47,00:28:46,,Sex and the City: Season 3: The Big Time (Episode 8),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:28:47,00:28:47,BR (Brazil)
Luli😁,2024-06-25 21:59:25,00:25:14,,Sex and the City: Season 3: Drama Queens (Episode 7),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:25:39,00:25:39,BR (Brazil)
Luli😁,2024-06-25 21:54:18,00:05:04,Autoplayed: user action: User_Interaction; ,Sex and the City: Season 3: Are We Sluts? (Episode 6),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:22:42,00:22:42,BR (Brazil)
Luli😁,2024-06-22 22:07:53,00:17:04,,Sex and the City: Season 3: Are We Sluts? (Episode 6),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:17:39,Not latest view,BR (Brazil)
Luli😁,2024-06-22 22:07:45,00:00:06,Autoplayed: user action: None; ,Sex and the City: Clip 1,HOOK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:00:06,Not latest view,BR (Brazil)
Luli😁,2024-06-19 19:09:02,00:01:35,Autoplayed: user action: User_Interaction; ,Sex and the City: Season 3: Are We Sluts? (Episode 6),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:09:37,Not latest view,BR (Brazil)
Luli😁,2024-06-18 01:27:02,00:08:53,,Sex and the City: Season 3: Are We Sluts? (Episode 6),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:08:55,Not latest view,BR (Brazil)
Luli😁,2024-06-18 00:56:39,00:30:21,,"Sex and the City: Season 3: No Ifs, Ands, or Butts (Episode 5)",,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:30:23,00:30:23,BR (Brazil)
Luli😁,2024-06-18 00:28:44,00:27:35,Autoplayed: user action: User_Interaction; ,"Sex and the City: Season 3: Boy, Girl, Boy, Girl... (Episode 4)",,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:27:42,00:27:42,BR (Brazil)
Luli😁,2024-06-18 00:03:52,00:24:49,,Sex and the City: Season 3: Attack of the Five-Foot-Ten Woman (Episode 3),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:25:25,00:25:25,BR (Brazil)
Luli😁,2024-06-17 23:29:21,00:27:03,Autoplayed: user action: User_Interaction; ,Sex and the City: Season 3: Politically Erect (Episode 2),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:27:40,00:27:40,BR (Brazil)
Luli😁,2024-06-17 23:29:11,00:00:04,Autoplayed: user action: None; ,Season 3 Part 2 Plot Clip: Bridgerton,HOOK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:00:04,00:00:04,BR (Brazil)
Luli😁,2024-06-15 03:15:05,00:27:51,Autoplayed: user action: User_Interaction; ,Sex and the City: Season 3: Where There's Smoke... (Episode 1),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:28:27,00:28:27,BR (Brazil)
Luli😁,2024-06-15 03:14:14,00:00:45,Autoplayed: user action: None; ,Season 3 Part 2 Moment of High Emotion Clip 2: Bridgerton,HOOK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:00:45,00:00:45,BR (Brazil)
Luli😁,2024-06-12 20:21:39,00:14:14,,Sex and the City: Season 2: Ex and the City (Episode 18),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:31:06,00:31:06,BR (Brazil)
Luli😁,2024-06-11 23:23:54,00:16:51,,Sex and the City: Season 2: Ex and the City (Episode 18),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:16:52,Not latest view,BR (Brazil)
Luli😁,2024-06-11 22:59:30,00:24:21,,Sex and the City: Season 2: Twenty-Something Girls vs. Thirty-Something Women (Episode 17),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:24:23,00:24:23,BR (Brazil)
Luli😁,2024-06-11 22:33:51,00:25:35,,Sex and the City: Season 2: Was It Good for You? (Episode 16),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:26:13,00:26:13,BR (Brazil)
Luli😁,2024-06-11 22:08:38,00:25:08,Autoplayed: user action: User_Interaction; ,Sex and the City: Season 2: Shortcomings (Episode 15),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:25:41,00:25:41,BR (Brazil)
Luli😁,2024-06-11 00:38:04,00:23:16,,Sex and the City: Season 2: The F**k Buddy (Episode 14),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:23:45,00:23:45,BR (Brazil)
Luli😁,2024-06-11 00:17:54,00:20:08,,Sex and the City: Season 2: Games People Play (Episode 13),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:20:09,00:20:09,BR (Brazil)
Luli😁,2024-06-10 23:50:35,00:27:15,,Sex and the City: Season 2: La Douleur Exquise (Episode 12),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:27:53,00:27:53,BR (Brazil)
Luli😁,2024-06-10 23:50:10,00:00:22,,Sex and the City: Season 2: Evolution (Episode 11),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:25:45,00:25:45,BR (Brazil)
Luli😁,2024-06-10 20:06:16,00:24:50,Autoplayed: user action: User_Interaction; ,Sex and the City: Season 2: Evolution (Episode 11),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:25:27,Not latest view,BR (Brazil)
Luli😁,2024-06-10 17:46:25,00:25:50,,Sex and the City: Season 2: The Caste System (Episode 10),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:26:22,00:26:22,BR (Brazil)
Luli😁,2024-06-10 17:20:34,00:25:39,Autoplayed: user action: User_Interaction; ,"Sex and the City: Season 2: Old Dogs, New D**ks (Episode 9)",,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:25:41,00:25:41,BR (Brazil)
Luli😁,2024-06-10 16:28:28,00:11:23,,"Sex and the City: Season 2: The Man, the Myth, the Viagra (Episode 8)",,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:23:52,00:23:52,BR (Brazil)
Luli😁,2024-06-09 23:11:39,00:11:54,,"Sex and the City: Season 2: The Man, the Myth, the Viagra (Episode 8)",,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:12:30,Not latest view,BR (Brazil)
Luli😁,2024-06-09 22:48:19,00:23:17,,Sex and the City: Season 2: The Chicken Dance (Episode 7),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:23:53,00:23:53,BR (Brazil)
Luli😁,2024-06-09 22:22:53,00:23:45,Autoplayed: user action: User_Interaction; ,Sex and the City: Season 2: The Cheating Curve (Episode 6),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:23:48,00:23:48,BR (Brazil)
Luli😁,2024-06-09 21:56:27,00:26:25,,Sex and the City: Season 2: Four Women and a Funeral (Episode 5),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:26:26,00:26:26,BR (Brazil)
Luli😁,2024-06-09 21:34:05,00:22:18,Autoplayed: user action: User_Interaction; ,"Sex and the City: Season 2: They Shoot Single People, Don't They? (Episode 4)",,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:25:01,00:25:01,BR (Brazil)
Luli😁,2024-06-09 21:33:43,00:00:04,Autoplayed: user action: None; ,"Sex and the City: Season 2: They Shoot Single People, Don't They? (Episode 4)",,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:02:46,Not latest view,BR (Brazil)
Luli😁,2024-06-06 22:19:26,00:02:42,,"Sex and the City: Season 2: They Shoot Single People, Don't They? (Episode 4)",,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:02:44,Not latest view,BR (Brazil)
Luli😁,2024-06-06 21:50:50,00:24:46,Autoplayed: user action: User_Interaction; ,Sex and the City: Season 2: The Freak Show (Episode 3),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:24:48,00:24:48,BR (Brazil)
Luli😁,2024-06-06 21:50:21,00:00:04,Autoplayed: user action: None; ,Season 1 Genre Specific Moment Clip: Raising Voices,HOOK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:00:04,00:00:04,BR (Brazil)
Luli😁,2024-06-06 00:42:24,00:23:24,,Sex and the City: Season 2: The Awful Truth (Episode 2),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:23:59,00:23:59,BR (Brazil)
Luli😁,2024-06-06 00:18:13,00:24:08,,Sex and the City: Season 2: Take Me Out to the Ballgame (Episode 1),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:24:08,00:24:08,BR (Brazil)
Luli😁,2024-06-06 00:17:58,00:00:09,Autoplayed: user action: None; ,Season 3 Act 2 Conflict Clip 2: Bridgerton,HOOK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:00:09,00:00:09,BR (Brazil)
Luli😁,2024-06-02 20:11:27,00:25:02,,Sex and the City: Season 1: Oh Come All Ye Faithful (Episode 12),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:25:40,00:25:40,BR (Brazil)
Luli😁,2024-06-02 19:47:26,00:23:57,,Sex and the City: Season 1: The Drought (Episode 11),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:24:33,00:24:33,BR (Brazil)
Luli😁,2024-06-02 19:25:16,00:22:08,,Sex and the City: Season 1: The Baby Shower (Episode 10),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:22:09,00:22:09,BR (Brazil)
Luli😁,2024-06-02 19:24:56,00:00:17,Autoplayed: user action: User_Interaction; ,Sex and the City: Season 1: The Turtle and the Hare (Episode 9),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:22:16,00:22:16,BR (Brazil)
Luli😁,2024-05-29 00:21:09,00:22:02,Autoplayed: user action: None; ,Sex and the City: Season 1: The Turtle and the Hare (Episode 9),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:22:03,Not latest view,BR (Brazil)
Luli😁,2024-05-28 23:58:21,00:22:44,Autoplayed: user action: User_Interaction; ,Sex and the City: Season 1: Three's a Crowd (Episode 8),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:23:18,00:23:18,BR (Brazil)
Luli😁,2024-05-28 23:30:42,00:22:38,,Sex and the City: Season 1: The Monogamists (Episode 7),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:23:39,00:23:39,BR (Brazil)
Luli😁,2024-05-28 23:26:42,00:01:01,Autoplayed: user action: None; ,Sex and the City: Season 1: The Monogamists (Episode 7),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:01:03,Not latest view,BR (Brazil)
Luli😁,2024-05-28 23:03:11,00:21:53,Autoplayed: user action: User_Interaction; ,Sex and the City: Season 1: Secret Sex (Episode 6),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:22:35,00:22:35,BR (Brazil)
Luli😁,2024-05-28 22:39:22,00:23:47,,Sex and the City: Season 1: The Power of Female Sex (Episode 5),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:23:48,00:23:48,BR (Brazil)
Luli😁,2024-05-28 22:14:56,00:24:15,Autoplayed: user action: User_Interaction; ,Sex and the City: Season 1: Valley of the Twenty-something Guys (Episode 4),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:22:21,00:22:21,BR (Brazil)
Luli😁,2024-05-28 21:52:42,00:22:10,,Sex and the City: Season 1: Bay of Married Pigs (Episode 3),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:22:45,00:22:45,BR (Brazil)
Luli😁,2024-05-28 21:29:22,00:23:16,,Sex and the City: Season 1: Models and Mortals (Episode 2),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:23:54,00:23:54,BR (Brazil)
Luli😁,2024-05-28 21:29:08,00:00:10,Autoplayed: user action: None; ,Sex and the City: Clip 5,HOOK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:00:10,00:00:10,BR (Brazil)
Luli😁,2024-05-07 23:25:08,00:00:04,Autoplayed: user action: None; ,Season 6 Trailer 1: Bojack Horseman,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:04,00:00:04,BR (Brazil)
Luli😁,2024-04-28 23:21:07,00:25:24,Autoplayed: user action: User_Interaction; ,Sex and the City: Season 1: Sex and the City (Episode 1),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:25:49,00:25:49,BR (Brazil)
Luli😁,2024-04-28 23:17:40,00:01:00,Autoplayed: user action: None; ,Limited Series Inciting Incident Clip: Baby Reindeer,HOOK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:01:00,00:01:00,BR (Brazil)
Luli😁,2024-04-20 07:07:53,00:47:25,Autoplayed: user action: User_Interaction; ,White Chicks,,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:47:25,00:47:25,BR (Brazil)
Luli😁,2024-04-20 07:06:29,00:00:56,,White Chicks_hook_primary_16x9,HOOK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:00:56,00:00:56,BR (Brazil)
Luli😁,2024-04-20 07:05:46,00:00:40,,Season 6 Trailer: The Circle,HOOK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:00:40,00:00:40,BR (Brazil)
Luli😁,2024-04-20 07:04:12,00:01:31,,The Good Place: Season 1 (Trailer),TRAILER,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:01:31,00:01:31,BR (Brazil)
Luli😁,2024-04-20 07:03:26,00:00:43,,Friends with Benefits_hook_primary_16x9,HOOK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:00:43,00:00:43,BR (Brazil)
Luli😁,2024-04-20 07:01:16,00:02:06,,Set It Up (Trailer),TRAILER,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:02:06,00:02:06,BR (Brazil)
Luli😁,2024-04-20 06:58:38,00:02:35,,Trailer: Queen Charlotte: A Bridgerton Story,TRAILER,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:02:35,00:02:35,BR (Brazil)
Luli😁,2024-04-20 06:58:12,00:00:23,,Lady Bird_hook_primary_16x9,HOOK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:00:23,00:00:23,BR (Brazil)
Luli😁,2024-04-20 06:56:43,00:01:25,,Trailer: The Tearsmith,TRAILER,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:01:25,00:01:25,BR (Brazil)
Luli😁,2024-04-20 06:55:37,00:01:02,,Young Sheldon: Season 1_hook_primary_16x9,HOOK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:01:02,Not latest view,BR (Brazil)
Luli😁,2024-04-20 06:54:54,00:00:39,,Dexter: Season 1_hook_primary_16x9,HOOK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:00:39,00:00:39,BR (Brazil)
Luli😁,2024-04-20 06:53:56,00:00:55,,Suits: Season 1_hook_primary_16x9,HOOK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:00:55,00:00:55,BR (Brazil)
Luli😁,2024-04-20 06:53:07,00:00:46,,Sex and the City: Season 1_hook_primary_16x9,HOOK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:00:46,00:00:46,BR (Brazil)
Luli😁,2024-04-20 06:50:19,00:02:44,,Season 1 Trailer: Bridgerton,TRAILER,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:02:44,00:02:44,BR (Brazil)
Luli😁,2024-04-20 06:48:39,00:01:37,Autoplayed: user action: None; ,Season 2 Trailer: Heartbreak High,TRAILER,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:01:37,00:01:37,BR (Brazil)
